Column|Format|QuestionText|dtcode
RecordNo|TEXT|RecordNo|
Surveycode|TEXT|Surveycode|
URIstring|TEXT|URIstring|
DateUpdated|TEXT|DateUpdated|
DateCompleted|TEXT|DateCompleted|
PageNo|TEXT|PageNo|
PathInfo|TEXT|PathInfo|
Referrer|TEXT|Referrer|
IPaddress|TEXT|IPaddress|
Version|TEXT|IGNORE|
qName|TEXT|Contact Name|
qCompany|TEXT|Company|
qJobtitle|TEXT|Job title|
qEmail|TEXT|Email address|
qTelephone|TEXT|Contact Number|
qCountry|TEXT|Country of Origin Global Head Office|
qCurrency|SELECT|Currency|
qCurrencyOther|TEXT|Currency (OTHER)|
q1|SINGLE|Did you raise any capital for non-listed funds, separate accounts, JVs and club deals, funds of funds or non-listed debt funds in 2015?|1
q2|SINGLE|If no, please state select one of the following reasons:|2
q2other|TEXT|If no, please state select one of the following reasons: (Other)|3
||How much capital did your company raise in 2015 by regional strategy (million)?|4
q31_1|CURRENCY|European strategy - Non-listed/ commingled real estate funds/private REITs|4_1
q31_2|CURRENCY|European strategy - Separate accounts investing directly into real estate|4_2
q31_3|CURRENCY|European strategy - Separate accounts investing into indirect vehicles|4_3
q31_4|CURRENCY|European strategy - Joint ventures and club deals|4_4
q31_5|CURRENCY|European strategy - Funds of funds|4_5
q31_6|CURRENCY|European strategy - Non-listed debt products|4_6
q3ROW1_hidden|CURRENCY|European strategy TOTAL|4_7
q32_1|CURRENCY|Asia Pacific strategy - Non-listed/ commingled real estate funds/private REITs|4_8
q32_2|CURRENCY|Asia Pacific strategy - Separate accounts investing directly into real estate|4_9
q32_3|CURRENCY|Asia Pacific strategy - Separate accounts investing into indirect vehicles|4_10
q32_4|CURRENCY|Asia Pacific strategy - Joint ventures and club deals|4_11
q32_5|CURRENCY|Asia Pacific strategy - Funds of funds|4_12
q32_6|CURRENCY|Asia Pacific strategy - Non-listed debt products|4_13
q3ROW2_hidden|CURRENCY|Asia Pacific strategy TOTAL|4_14
q33_1|CURRENCY|North American strategy - Non-listed/ commingled real estate funds/private REITs|4_15
q33_2|CURRENCY|North American strategy - Separate accounts investing directly into real estate|4_16
q33_3|CURRENCY|North American strategy - Separate accounts investing into indirect vehicles|4_17
q33_4|CURRENCY|North American strategy - Joint ventures and club deals|4_18
q33_5|CURRENCY|North American strategy - Funds of funds|4_19
q33_6|CURRENCY|North American strategy - Non-listed debt products|4_20
q3ROW3_hidden|CURRENCY|North American strategy TOTAL|4_21
q34_1|CURRENCY|Global strategy - Non-listed/ commingled real estate funds/private REITs|4_22
q34_2|CURRENCY|Global strategy - Separate accounts investing directly into real estate|4_23
q34_3|CURRENCY|Global strategy - Separate accounts investing into indirect vehicles|4_24
q34_4|CURRENCY|Global strategy - Joint ventures and club deals|4_25
q34_5|CURRENCY|Global strategy - Funds of funds|4_26
q34_6|CURRENCY|Global strategy - Non-listed debt products|4_27
q3ROW4_hidden|CURRENCY|Global strategy TOTAL|4_28
q35_1|CURRENCY|South American strategy - Non-listed/ commingled real estate funds/private REITs|4_29
q35_2|CURRENCY|South American strategy - Separate accounts investing directly into real estate|4_30
q35_3|CURRENCY|South American strategy - Separate accounts investing into indirect vehicles|4_31
q35_4|CURRENCY|South American strategy - Joint ventures and club deals|4_32
q35_5|CURRENCY|South American strategy - Funds of funds|4_33
q35_6|CURRENCY|South American strategy - Non-listed debt products|4_34
q3ROW5_hidden|CURRENCY|South American strategy TOTAL|4_35
q36_1|CURRENCY|African strategy - Non-listed/ commingled real estate funds/private REITs|4_36
q36_2|CURRENCY|African strategy - Separate accounts investing directly into real estate|4_37
q36_3|CURRENCY|African strategy - Separate accounts investing into indirect vehicles|4_38
q36_4|CURRENCY|African strategy - Joint ventures and club deals|4_39
q36_5|CURRENCY|African strategy - Funds of funds|4_40
q36_6|CURRENCY|African strategy - Non-listed debt products|4_41
q3ROW6_hidden|CURRENCY|African strategy TOTAL|4_42
q3COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|4_43
q3COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|4_44
q3COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|4_45
q3COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|4_46
q3COL5_hidden|CURRENCY|Funds of funds TOTAL|4_47
q3COL6_hidden|CURRENCY|Non-listed debt products TOTAL|4_48
q3GRANDTotal_hidden|CURRENCY|TOTAL capital raised in 2015 by regional strategy (million)|4_49
ShowEurope||IGNORE|4_50
ShowAsia||IGNORE|4_51
ShowNA||IGNORE|4_52
ShowGlobal||IGNORE|4_53
ShowSA||IGNORE|4_54
ShowAfrica||IGNORE|4_55
||For how many vehicles did your company raise capital for in 2015 by regional strategy?|5
q41_1|NUMBER|European strategy - Non-listed/ commingled real estate funds/private REITs|5_1
q41_2|NUMBER|European strategy - Separate accounts investing directly into real estate|5_2
q41_3|NUMBER|European strategy - Separate accounts investing into indirect vehicles|5_3
q41_4|NUMBER|European strategy - Joint ventures and club deals|5_4
q41_5|NUMBER|European strategy - Funds of funds|5_5
q41_6|NUMBER|European strategy - Non-listed debt products|5_6
q4ROW1_hidden|NUMBER|European strategy TOTAL|5_7
q42_1|NUMBER|Asia Pacific strategy - Non-listed/ commingled real estate funds/private REITs|5_8
q42_2|NUMBER|Asia Pacific strategy - Separate accounts investing directly into real estate|5_9
q42_3|NUMBER|Asia Pacific strategy - Separate accounts investing into indirect vehicles|5_10
q42_4|NUMBER|Asia Pacific strategy - Joint ventures and club deals|5_11
q42_5|NUMBER|Asia Pacific strategy - Funds of funds|5_12
q42_6|NUMBER|Asia Pacific strategy - Non-listed debt products|5_13
q4ROW2_hidden|NUMBER|Asia Pacific strategy TOTAL|5_14
q43_1|NUMBER|North American strategy - Non-listed/ commingled real estate funds/private REITs|5_15
q43_2|NUMBER|North American strategy - Separate accounts investing directly into real estate|5_16
q43_3|NUMBER|North American strategy - Separate accounts investing into indirect vehicles|5_17
q43_4|NUMBER|North American strategy - Joint ventures and club deals|5_18
q43_5|NUMBER|North American strategy - Funds of funds|5_19
q43_6|NUMBER|North American strategy - Non-listed debt products|5_20
q4ROW3_hidden|NUMBER|North American strategy TOTAL|5_21
q44_1|NUMBER|Global strategy - Non-listed/ commingled real estate funds/private REITs|5_22
q44_2|NUMBER|Global strategy - Separate accounts investing directly into real estate|5_23
q44_3|NUMBER|Global strategy - Separate accounts investing into indirect vehicles|5_24
q44_4|NUMBER|Global strategy - Joint ventures and club deals|5_25
q44_5|NUMBER|Global strategy - Funds of funds|5_26
q44_6|NUMBER|Global strategy - Non-listed debt products|5_27
q4ROW4_hidden|NUMBER|Global strategy TOTAL|5_28
q45_1|NUMBER|South American strategy - Non-listed/ commingled real estate funds/private REITs|5_29
q45_2|NUMBER|South American strategy - Separate accounts investing directly into real estate|5_30
q45_3|NUMBER|South American strategy - Separate accounts investing into indirect vehicles|5_31
q45_4|NUMBER|South American strategy - Joint ventures and club deals|5_32
q45_5|NUMBER|South American strategy - Funds of funds|5_33
q45_6|NUMBER|South American strategy - Non-listed debt products|5_34
q4ROW5_hidden|NUMBER|South American strategy TOTAL|5_35
q46_1|NUMBER|African strategy - Non-listed/ commingled real estate funds/private REITs|5_36
q46_2|NUMBER|African strategy - Separate accounts investing directly into real estate|5_37
q46_3|NUMBER|African strategy - Separate accounts investing into indirect vehicles|5_38
q46_4|NUMBER|African strategy - Joint ventures and club deals|5_39
q46_5|NUMBER|African strategy - Funds of funds|5_40
q46_6|NUMBER|African strategy - Non-listed debt products|5_41
q4ROW6_hidden|NUMBER|African strategy TOTAL|5_42
q4COL1_hidden|NUMBER|Non-listed/ commingled real estate funds/private REITs TOTAL|5_43
q4COL2_hidden|NUMBER|Separate accounts investing directly into real estate TOTAL|5_44
q4COL3_hidden|NUMBER|Separate accounts investing into indirect vehicles TOTAL|5_45
q4COL4_hidden|NUMBER|Joint ventures and club deals TOTAL|5_46
q4COL5_hidden|NUMBER|Funds of funds TOTAL|5_47
q4COL6_hidden|NUMBER|Non-listed debt products TOTAL|5_48
q4GRANDTotal_hidden|NUMBER|Total number of vehicles company raised capital for in 2015 by regional strategy|5_49
Alert41_1||IGNORE|5_50
Alert41_2||IGNORE|5_51
Alert41_3||IGNORE|5_52
Alert41_4||IGNORE|5_53
Alert41_5||IGNORE|5_54
Alert41_6||IGNORE|5_55
Alert42_1||IGNORE|5_56
Alert42_2||IGNORE|5_57
Alert42_3||IGNORE|5_58
Alert42_4||IGNORE|5_59
Alert42_5||IGNORE|5_60
Alert42_6||IGNORE|5_61
Alert43_1||IGNORE|5_62
Alert43_2||IGNORE|5_63
Alert43_3||IGNORE|5_64
Alert43_4||IGNORE|5_65
Alert43_5||IGNORE|5_66
