Column|suffix|OriginalColumn|Format|QuestionText|dtcode
Surveycode||Surveycode|SAMPLE|Surveycode|
Association (Sample)||Association (Sample)|SAMPLE|Association (from Sample)|
Company (Sample)||Company (Sample)|SAMPLE|Company (from Sample)|
REGION||REGION|HIDDEN|Eligible Region|
DateCompleted (Asia)||DateCompleted (Asia)|HIDDEN|DateCompleted (Asia)|
REGION||REGION|HIDDEN|Eligible Region|
DateCompleted (Europe)||DateCompleted (Europe)|HIDDEN|DateCompleted (Europe)|
REGION||REGION|HIDDEN|Eligible Region|
DateCompleted (NorthAmerica)||DateCompleted (NorthAmerica)|HIDDEN|DateCompleted (NorthAmerica)|
REGION||REGION|HIDDEN|Eligible Region|
DateCompleted (Global)||DateCompleted (Global)|HIDDEN|DateCompleted (Global)|
REGION||REGION|HIDDEN|Eligible Region|
DateCompleted (SouthAmerica)||DateCompleted (SouthAmerica)|HIDDEN|DateCompleted (SouthAmerica)|
REGION||REGION|HIDDEN|Eligible Region|
DateCompleted (Africa)||DateCompleted (Africa)|HIDDEN|DateCompleted (Africa)|
ShowEurope||ShowEurope|HIDDEN|ShowEurope|
ShowAsia||ShowAsia|HIDDEN|ShowAsia|
ShowNA||ShowNA|HIDDEN|ShowNA|
ShowGlobal||ShowGlobal|HIDDEN|ShowGlobal|
ShowSA||ShowSA|HIDDEN|ShowSA|
ShowAfrica||ShowAfrica|HIDDEN|ShowAfrica|
RecordNo||RecordNo|SYSTEM|RecordNo|
Surveycode||Surveycode|SYSTEM|Surveycode|
URIstring||URIstring|SYSTEM|URIstring|
DateUpdated||DateUpdated|SYSTEM|DateUpdated|
DateCompleted||DateCompleted|SYSTEM|DateCompleted|
PageNo||PageNo|SYSTEM|PageNo|
PathInfo||PathInfo|SYSTEM|PathInfo|
Referrer||Referrer|SYSTEM|Referrer|
IPaddress||IPaddress|SYSTEM|IPaddress|
Version||Version|SYSTEM|SurveyYear|
qName||qName|TEXT|Respondent Name|
qCompany||qCompany|TEXT|Company|
qJobtitle||qJobtitle|TEXT|Job title|
qEmail||qEmail|TEXT|Email address|
qTelephone||qTelephone|TEXT|Contact Number|
qCountry||qCountry|TEXT|Country of Origin Global Head Office|
qCurrency||qCurrency|SELECT|Currency|
qCurrencyOther||qCurrencyOther|TEXT|Currency (OTHER)|
q1||q1|SINGLE|Did your company raise institutional capital for non-listed real estate vehicles in 2017?|1
q2||q2|SINGLE|If no, please state select one of the following reasons:|2
q2other||q2other|TEXT|If no, please state select one of the following reasons: (Other)|3
||||How much institutional capital did your company raise in 2017 (millions)?|4
q3A_TotalRealEstate||q3A_TotalRealEstate|CURRENCY|Total real estate (million)|4_1
q3A_NonListedRealEstate||q3A_NonListedRealEstate|CURRENCY|Non-listed real estate (million|4_2
||||How much of the institutional capital raised in 2017 (millions) is already invested?|5
q3B_TotalRealEstate||q3B_TotalRealEstate|CURRENCY|Total real estate (million)|5_1
q3B_NonListedRealEstate||q3B_NonListedRealEstate|CURRENCY|Non-listed real estate (million)|5_2
||||How much institutional capital did your company raise for non-listed vehicles in 2017 by regional strategy (million)?|6
q31_1||q31_1|CURRENCY|Asia Pacific strategy - Non-listed/ commingled real estate funds/private REITs|6_1
q31_2||q31_2|CURRENCY|Asia Pacific strategy - Separate accounts investing directly into real estate|6_2
q31_3||q31_3|CURRENCY|Asia Pacific strategy - Separate accounts investing into indirect vehicles|6_3
q31_4||q31_4|CURRENCY|Asia Pacific strategy - Joint ventures and club deals|6_4
q31_5||q31_5|CURRENCY|Asia Pacific strategy - Funds of funds|6_5
q31_6||q31_6|CURRENCY|Asia Pacific strategy - Non-listed debt products|6_6
q3ROW1_hidden||q3ROW1_hidden|CURRENCY|Asia Pacific strategy TOTAL|6_7
q32_1||q32_1|CURRENCY|European strategy - Non-listed/ commingled real estate funds/private REITs|6_8
q32_2||q32_2|CURRENCY|European strategy - Separate accounts investing directly into real estate|6_9
q32_3||q32_3|CURRENCY|European strategy - Separate accounts investing into indirect vehicles|6_10
q32_4||q32_4|CURRENCY|European strategy - Joint ventures and club deals|6_11
q32_5||q32_5|CURRENCY|European strategy - Funds of funds|6_12
