Column|suffix|Analysis_Column|OriginalColumn|Format|QuestionText|dtcode
Surveycode||Surveycode|Surveycode|SAMPLE VALUE|Surveycode|
Association_Sample||Association (Sample)|Association_Sample|SAMPLE VALUE|Association (from Sample)|
Company_Sample||Company (Sample)|Company_Sample|SAMPLE VALUE|Company (from Sample)|
REGION||REGION|REGION|HIDDEN SURVEY VALUE|Eligible Region|
DateCompleted_Asia||DateCompleted (Asia)|DateCompleted_Asia|HIDDEN SURVEY VALUE|DateCompleted (Asia)|
REGION||REGION|REGION|HIDDEN SURVEY VALUE|Eligible Region|
DateCompleted_Europe||DateCompleted (Europe)|DateCompleted_Europe|HIDDEN SURVEY VALUE|DateCompleted (Europe)|
REGION||REGION|REGION|HIDDEN SURVEY VALUE|Eligible Region|
DateCompleted_NorthAmerica||DateCompleted (NorthAmerica)|DateCompleted_NorthAmerica|HIDDEN SURVEY VALUE|DateCompleted (NorthAmerica)|
REGION||REGION|REGION|HIDDEN SURVEY VALUE|Eligible Region|
DateCompleted_Global||DateCompleted (Global)|DateCompleted_Global|HIDDEN SURVEY VALUE|DateCompleted (Global)|
REGION||REGION|REGION|HIDDEN SURVEY VALUE|Eligible Region|
DateCompleted_SouthAmerica||DateCompleted (SouthAmerica)|DateCompleted_SouthAmerica|HIDDEN SURVEY VALUE|DateCompleted (SouthAmerica)|
REGION||REGION|REGION|HIDDEN SURVEY VALUE|Eligible Region|
DateCompleted_Africa||DateCompleted (Africa)|DateCompleted_Africa|HIDDEN SURVEY VALUE|DateCompleted (Africa)|
ShowEurope||ShowEurope|ShowEurope|HIDDEN SURVEY VALUE|ShowEurope|
ShowAsia||ShowAsia|ShowAsia|HIDDEN SURVEY VALUE|ShowAsia|
ShowNA||ShowNA|ShowNA|HIDDEN SURVEY VALUE|ShowNA|
ShowGlobal||ShowGlobal|ShowGlobal|HIDDEN SURVEY VALUE|ShowGlobal|
ShowSA||ShowSA|ShowSA|HIDDEN SURVEY VALUE|ShowSA|
ShowAfrica||ShowAfrica|ShowAfrica|HIDDEN SURVEY VALUE|ShowAfrica|
RecordNo||RecordNo|RecordNo|SYSTEM VALUE|RecordNo|
DateCompleted||DateCompleted|DateCompleted|SYSTEM VALUE|DateCompleted|
IPaddress||IPaddress|IPaddress|SYSTEM VALUE|IPaddress|
Version||Version|Version|SYSTEM VALUE|SurveyYear|
qName||qName|qName|TEXT|Respondent Name|
qCompany||qCompany|qCompany|TEXT|Company|
qJobtitle||qJobtitle|qJobtitle|TEXT|Job title|
qEmail||qEmail|qEmail|TEXT|Email address|
qTelephone||qTelephone|qTelephone|TEXT|Contact Number|
qCountry||qCountry|qCountry|TEXT|Country of Origin Global Head Office|
qCurrency||qCurrency|qCurrency|SELECT|Currency|
qCurrencyOther||qCurrencyOther|qCurrencyOther|TEXT|Currency (OTHER)|
q1||q1|q1|SINGLE|Did your company raise institutional capital for non-listed real estate vehicles in 2020?|1
q2||q2|q2|SINGLE|If no, please select one of the following reasons|2
q2other||q2other|q2other|TEXT|If no, please select one of the following reasons (Other)|3
|||||How much institutional capital did your company raise in 2020 (millions)? |4
q3A_TotalRealEstate||q3A_TotalRealEstate|q3A_TotalRealEstate|CURRENCY|Total real estate (Million CURRENCY)|4_1
q3A_NonListedRealEstate||q3A_NonListedRealEstate|q3A_NonListedRealEstate|CURRENCY|Non-listed real estate (Million CURRENCY)|4_2
|||||How much of the institutional capital raised in 2020 (millions) is already invested?|5
q3B_TotalRealEstate||q3B_TotalRealEstate|q3B_TotalRealEstate|CURRENCY|Total real estate (Million CURRENCY)|5_1
q3B_NonListedRealEstate||q3B_NonListedRealEstate|q3B_NonListedRealEstate|CURRENCY|Non-listed real estate (Million CURRENCY)|5_2
|||||How much institutional capital did your company raise for non-listed vehicles in 2020 by regional strategy (million)? |6
q31_1||q31_1|q31_1|CURRENCY|Asia Pacific Strategy - Non-listed/ commingled real estate funds/private REITs|6_1
q31_2||q31_2|q31_2|CURRENCY|Asia Pacific Strategy - Separate accounts investing directly into real estate|6_2
q31_3||q31_3|q31_3|CURRENCY|Asia Pacific Strategy - Separate accounts investing into indirect vehicles|6_3
q31_4||q31_4|q31_4|CURRENCY|Asia Pacific Strategy - Joint ventures and club deals|6_4
q31_5||q31_5|q31_5|CURRENCY|Asia Pacific Strategy - Funds of funds|6_5
q31_6||q31_6|q31_6|CURRENCY|Asia Pacific Strategy - Non-listed debt products|6_6
q3ROW1_Total||q3ROW1_hidden|q3ROW1_Total|CURRENCY|Asia Pacific Strategy - TOTAL|6_7
q32_1||q32_1|q32_1|CURRENCY|European Strategy - Non-listed/ commingled real estate funds/private REITs|6_8
q32_2||q32_2|q32_2|CURRENCY|European Strategy - Separate accounts investing directly into real estate|6_9
q32_3||q32_3|q32_3|CURRENCY|European Strategy - Separate accounts investing into indirect vehicles|6_10
q32_4||q32_4|q32_4|CURRENCY|European Strategy - Joint ventures and club deals|6_11
q32_5||q32_5|q32_5|CURRENCY|European Strategy - Funds of funds|6_12
q32_6||q32_6|q32_6|CURRENCY|European Strategy - Non-listed debt products|6_13
q3ROW2_Total||q3ROW2_hidden|q3ROW2_Total|CURRENCY|European Strategy - TOTAL|6_14
q33_1||q33_1|q33_1|CURRENCY|North American Strategy - Non-listed/ commingled real estate funds/private REITs|6_15
q33_2||q33_2|q33_2|CURRENCY|North American Strategy - Separate accounts investing directly into real estate|6_16
q33_3||q33_3|q33_3|CURRENCY|North American Strategy - Separate accounts investing into indirect vehicles|6_17
q33_4||q33_4|q33_4|CURRENCY|North American Strategy - Joint ventures and club deals|6_18
q33_5||q33_5|q33_5|CURRENCY|North American Strategy - Funds of funds|6_19
q33_6||q33_6|q33_6|CURRENCY|North American Strategy - Non-listed debt products|6_20
q3ROW3_Total||q3ROW3_hidden|q3ROW3_Total|CURRENCY|North American Strategy - TOTAL|6_21
q34_1||q34_1|q34_1|CURRENCY|Global Strategy - Non-listed/ commingled real estate funds/private REITs|6_22
q34_2||q34_2|q34_2|CURRENCY|Global Strategy - Separate accounts investing directly into real estate|6_23
q34_3||q34_3|q34_3|CURRENCY|Global Strategy - Separate accounts investing into indirect vehicles|6_24
q34_4||q34_4|q34_4|CURRENCY|Global Strategy - Joint ventures and club deals|6_25
q34_5||q34_5|q34_5|CURRENCY|Global Strategy - Funds of funds|6_26
q34_6||q34_6|q34_6|CURRENCY|Global Strategy - Non-listed debt products|6_27
q3ROW4_Total||q3ROW4_hidden|q3ROW4_Total|CURRENCY|Global Strategy - TOTAL|6_28
q35_1||q35_1|q35_1|CURRENCY|South American Strategy - Non-listed/ commingled real estate funds/private REITs|6_29
q35_2||q35_2|q35_2|CURRENCY|South American Strategy - Separate accounts investing directly into real estate|6_30
q35_3||q35_3|q35_3|CURRENCY|South American Strategy - Separate accounts investing into indirect vehicles|6_31
q35_4||q35_4|q35_4|CURRENCY|South American Strategy - Joint ventures and club deals|6_32
q35_5||q35_5|q35_5|CURRENCY|South American Strategy - Funds of funds|6_33
q35_6||q35_6|q35_6|CURRENCY|South American Strategy - Non-listed debt products|6_34
q3ROW5_Total||q3ROW5_hidden|q3ROW5_Total|CURRENCY|South American Strategy - TOTAL|6_35
q36_1||q36_1|q36_1|CURRENCY|African Strategy - Non-listed/ commingled real estate funds/private REITs|6_36
q36_2||q36_2|q36_2|CURRENCY|African Strategy - Separate accounts investing directly into real estate|6_37
q36_3||q36_3|q36_3|CURRENCY|African Strategy - Separate accounts investing into indirect vehicles|6_38
q36_4||q36_4|q36_4|CURRENCY|African Strategy - Joint ventures and club deals|6_39
q36_5||q36_5|q36_5|CURRENCY|African Strategy - Funds of funds|6_40
q36_6||q36_6|q36_6|CURRENCY|African Strategy - Non-listed debt products|6_41
q3ROW6_Total||q3ROW6_hidden|q3ROW6_Total|CURRENCY|African Strategy - TOTAL|6_42
q3COL1_Total||q3COL1_hidden|q3COL1_Total|CURRENCY|TOTAL - Non-listed/ commingled real estate funds/private REITs|6_43
q3COL2_Total||q3COL2_hidden|q3COL2_Total|CURRENCY|TOTAL - Separate accounts investing directly into real estate|6_44
q3COL3_Total||q3COL3_hidden|q3COL3_Total|CURRENCY|TOTAL - Separate accounts investing into indirect vehicles|6_45
q3COL4_Total||q3COL4_hidden|q3COL4_Total|CURRENCY|TOTAL - Joint ventures and club deals|6_46
q3COL5_Total||q3COL5_hidden|q3COL5_Total|CURRENCY|TOTAL - Funds of funds|6_47
q3COL6_Total||q3COL6_hidden|q3COL6_Total|CURRENCY|TOTAL - Non-listed debt products|6_48
q3GRANDTotal||q3GRANDTotal_hidden|q3GRANDTotal|CURRENCY|TOTAL Capital Raised in 2020 for non-listed real estate|6_49
|||||For how many non-listed vehicles did your company raise institutional capital for in 2020? |7
