Column|Format|QuestionText|dtcode|answer_Label|answer_label_condensed|qn_breakdown_label|section|Topic|sub_topic|Question|comment|column_order
Surveycode|TEXT|Surveycode|0_1|||||||||1
Association_Sample|TEXT|Association (from Sample)|0_2|||||||||2
Company_Sample|TEXT|Company (from Sample)|0_3|||||||||3
REGION1|TEXT|Eligible Region|0_4|||||||||4
DateCompleted_Asia|TEXT|DateCompleted (Asia)|0_5|||||||||5
REGION2|TEXT|Eligible Region|0_6|||||||||6
DateCompleted_Europe|TEXT|DateCompleted (Europe)|0_7|||||||||7
REGION3|TEXT|Eligible Region|0_8|||||||||8
DateCompleted_NorthAmerica|TEXT|DateCompleted (NorthAmerica)|0_9|||||||||9
REGION4|TEXT|Eligible Region|0_10|||||||||10
DateCompleted_Global|TEXT|DateCompleted (Global)|0_11|||||||||11
REGION5|TEXT|Eligible Region|0_12|||||||||12
DateCompleted_SouthAmerica|TEXT|DateCompleted (SouthAmerica)|0_13|||||||||13
REGION6|TEXT|Eligible Region|0_14|||||||||14
DateCompleted_Africa|TEXT|DateCompleted (Africa)|0_15|||||||||15
ShowEurope|TEXT|ShowEurope|0_16|||||||||16
ShowAsia|TEXT|ShowAsia|0_17|||||||||17
ShowNA|TEXT|ShowNA|0_18|||||||||18
ShowGlobal|TEXT|ShowGlobal|0_19|||||||||19
ShowSA|TEXT|ShowSA|0_20|||||||||20
ShowAfrica|TEXT|ShowAfrica|0_21|||||||||21
RecordNo|NUMBER|RecordNo|0_22|||||||||22
DateCompleted|TEXT|DateCompleted|0_23|||||||||23
IPaddress|TEXT|IPaddress|0_24|||||||||24
Version|TEXT|SurveyYear|0_25|||||||||25
qName|TEXT|Respondent Name|0_26|||||||||26
qCompany|TEXT|Company|0_27|||||||||27
mnumber|TEXT|Mnumber|0_28|||||||||28
qJobtitle|TEXT|Job title|0_29|||||||||29
qEmail|TEXT|Email address|0_30|||||||||30
qTelephone|TEXT|Contact Number|0_31|||||||||31
qCountry|TEXT|Country of Origin Global Head Office|0_32|||||||||32
qCurrency|TEXT|CURRENCY|0_33|||||||||33
qCurrencyOther|TEXT|Currency (OTHER)|0_34|||||||||34
AUM_Total|CURRENCY|FM_AUM_Total||||||||||35
q1|NUMBER|Did your company raise institutional capital for non-listed real estate vehicles in 2021?|1|CapitalRaisingActivity_NonListedRealEstateVehicles|CRact_NLV|Capital Raising Activity||Capital raising activity||q1||36
q2|NUMBER|If no, please select one of the following reasons|2|NoCapitalRaisingActivity_Reason|NoCR_Reason|Reason||Capital raising activity||q2||37
q2other|Text||3|NoCapitalRaisingActivity_Reason_Othertext|NoCR_Reason_OtherText|Reason - Other Text||Capital raising activity||q3||38
q3A_NonListedRealEstate|CURRENCY|How much institutional capital did your company raise in 2021 (millions)?|4|NonListedRealEstate|NL|Total raised||Capital raised ||q4||39
q3B_NonListedRealEstate|CURRENCY|How much of the institutional capital raised in 2021 (millions) is already invested?|5|CapitalInvested_NonListedRealEstate|CI_NL|Invested||Capital invested||q5||40
||How much institutional capital did your company raise for non-listed vehicles in 2021 by regional strategy (million)?|6|||||||q6||41
q31_1|CURRENCY|Asia Pacific Strategy - Non-listed/ commingled real estate funds/private REITs|6_1|RegionalStrategyAsiaPacific_NonListedFunds|RSAPAC_NLF|Asia Pacific - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q6||42
q31_2|CURRENCY|Asia Pacific Strategy - Separate accounts investing directly into real estate|6_2|RegionalStrategyAsiaPacific_SeparateAccountsDirect|RSAPAC_SepAccDirect|Asia Pacific - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q6||43
q31_3|CURRENCY|Asia Pacific Strategy - Separate accounts investing into indirect vehicles|6_3|RegionalStrategyAsiaPacific_SeparateAccountsIndirect|RSAPAC_SepAccIndirect|Asia Pacific - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q6||44
