keep|respondentId|collectorId|dateStarted|dateEnded|ipAddress|email|firstname|lastname|customData1|qfundname|universeFundID|qstyle|qfundstructure|first_closing_year|qcurrency|q1|q2|q2other|q3|q4_1|q4_2|q4_3|q4_4|q4_5|q4_6|q4_7|q4_8|q5_1|q5_2|q5_3|q5_4|q5_5|q6_1|q6_2|q6_3|q6_4|q7|q8
yes|6712340289|163310093|43153.77883|43153.79495|185.69.116.107|||||CBRE Global Investment Partners Segregated Accounts|N/A|Core|Open end||EUR|Yes|||1788|1368|364||56|||||1462|184|142|||100||||No change|Yes
yes|6712315962|163310093|43153.77238|43153.77475|185.69.116.107|||||CBRE Global Investment Partners UK Osiris Property Fund |17437|Core|Open end|2003|GBP|Yes|||12|12||||||||12|||||100||||No change|Yes
yes|6712267225|163310093|43153.49034|43153.76944|185.69.116.107|||||CBRE Global Investment Partners Global Alpha Fund|17454|Core|Open end|2010|USD|Yes|||1054|559|70|50|166|77|22||110|521|187|346|||100||||No change|Yes
yes|6709183679|163310093|43152.66674|43152.79762|185.69.116.107|||||CBRE Global Investment Partners Global Alpha Fund|17454|Core|Open end|2010|USD|Yes||||||||||||||||||||||
yes|6709173161|163310093|43152.66424|43152.66505|185.23.36.251|||||Altan IV Global IICIICIL|N/A|Opportunity|Closed end|2017|EUR|Yes|||291|20|20|||||251||291|||||||100||Increase|Yes
yes|6694825905|163310093|43145.65872|43145.65998|77.59.199.231|||||Crown Small Cap Real Estate Fund II|17661|Oppurtunity|Closed end|2014|USD|No|Other (please specify)|Completing investment period|||||||||||||||||||Increase|No
yes|6692012461|163310093|43144.62277|43144.62503|185.69.116.106|||||CBRE Global Investment Partners Global Alpha Fund Series FCP-SIF|N/A|Core|Open end|2010|USD|Yes||||||||||||||||||||||
yes|6689366577|163310093|43143.60595|43143.60892|195.191.225.4|||||HI-Immobilien-Multi Manager-Fonds III|N/A|Core|Open end|2017|EUR|Yes|||107|7|||||||100|107|||||||100||No change|Yes
yes|6689361078|163310093|43143.60373|43143.60581|195.191.225.4|||||HI-Immobilien-Multi Manager-Fonds II|N/A|Core|Open end|2016|EUR|Yes|||71|19|11||||||41|71|||||||100||No change|Yes
yes|6662580095|163310093|43130.80163|43130.80221|77.59.199.231|||||Crown Small Cap Real Estate Fund II|17661|Oppurtunity|Closed end|2014|USD|No|Other (please specify)|Already raised|||||||||||||||||||No change|No
yes|6661849274|163310093|43130.61116|43130.61744|212.114.207.108|||||PATRIZIA Multi Managers Global IV|N/A|Value added|Open end|2016|EUR|No||||||||||||||||||||||
