keep|respondentId|collectorId|dateStarted|dateEnded|ipAddress|email|firstname|lastname|customData1|qfundname|universeFundID|qcurrency|loan_strategy|qtarget_regional_strategy|qfundstructure|first_closing_year|q1|q2|q2other|q3|q4_1|q4_2|q4_3|q4_4|q4_5|q4_6|q4_7|q4_8|q5_1|q5_2|q5_3|q5_4|q5_5|q6_1|q6_2|q6_3|q6_4|q7|q8
yes|11330394899|252356073|2020-02-07 16:34:46|2020-02-07 16:35:10|194.143.182.29|||||Core Mortgage Commingled Fund|18130|GBP|Subordinated: Junior+Mezzanine|Europe|Closed end|2016|Yes|||16|16||||||||||16|||||100||Increase|Yes
no|11330393034|252356073|2020-02-07 16:33:55|2020-02-07 16:34:28|194.143.182.29|||||Separate Account #3||#N/A|#N/A|#N/A|#N/A|#N/A|Yes|||457|457||||||||457|||||||100||Increase|Yes
no|11330390380|252356073|2020-02-07 16:32:47|2020-02-07 16:33:41|194.143.182.29|||||Separate Account #1||#N/A|#N/A|#N/A|#N/A|#N/A|Yes|||10400||10400|||||||868|576|8956|||||100||Increase|Yes
no|11330384819|252356073|2020-02-07 16:30:46|2020-02-07 16:32:30|194.143.182.29|||||Separate Account #2||#N/A|#N/A|#N/A|#N/A|#N/A|Yes|||925||||925||||||925||||||100||Increase|Yes
yes|11325130444|252356073|2020-02-05 18:49:10|2020-02-05 18:56:12|85.115.37.180|||||SCOR Real Estate Loans IV|17397|EUR|Senior|Europe|Closed end|2013|Yes|||370||370|||||||370|||||0||100||Increase|Yes
yes|11290754444|252356073|2020-01-22 11:09:33|2020-01-22 11:11:04|134.159.69.4|||||GLOBAL REAL ESTATE DEBT PARTNERS – FUND II (UK)|18360|GBP|Mixed: Senior+Subordinated|North America|Closed end|2017|Yes|||1|1||||||||1|||||||100|||
yes|11289200758|252356073|2020-01-21 19:51:19|2020-01-21 19:54:36|161.151.152.150|||||COMOSA|19307|GBP|Senior|Europe|Closed end|2016|Yes|||100|100||||||||||100|||||100||Increase|No
yes|11288471069|252356073|2020-01-21 15:49:24|2020-01-21 15:50:46|46.34.3.7|||||Pluto Finance VII|19298|GBP|Senior|Europe|Open end|2019|Yes|||216|215|||||||1|216|||||||100||Increase|Yes
yes|11288335367|252356073|2020-01-21 15:00:14|2020-01-21 15:03:53|46.34.3.7|||||Pluto Finance VI|19297|GBP|Senior|Europe|Closed end|2019|Yes|||101|||100|||||1|101|||||||100||Increase|Yes
no|11288254742|252356073|2020-01-21 14:26:36|2020-01-21 14:27:13|80.169.207.154|||||AgFe RESDF Fund II|17383|GBP|Senior|Europe|Closed end|2014|No|Other (please specify)|Investor delays|||||||||||||||||||Increase|Yes
yes|11272709817|252356073|2020-01-14 11:49:22|2020-01-14 11:50:22|84.207.200.98|||||CREF 3|19292|GBP|Whole Loans|0|Closed end|2019|Yes|||35|35||||||||35|||||||100||Increase|Yes
no|11270068966|252356073|2020-01-13 10:23:10|2020-01-13 10:24:15|165.225.81.107|||||Octopus Commercial Real Estate Debt Fund III|18419|GBP|Senior|North America|Closed end|2016|No|Other (please specify)|We commenced fundraising in September|||||||||||||||||||Increase|Yes
yes|11270024041|252356073|2020-01-13 09:44:04|2020-01-13 09:48:10|217.10.134.222|||||DRC European Real Estate Debt Fund IV|19301|GBP|Mixed: Senior+Subordinated|Europe|Closed end|2019|Yes|||176|134|||||40|2||136||40|||0|0|100|0|Increase|Yes
