keep|respondentId|collectorId|dateStarted|dateEnded|ipAddress|email|firstname|lastname|customData1|qcompany|qfundname|universeFundID|qcurrency|loan_strategy|qtarget_regional_strategy|qfundstructure|first_closing_year|q1|q2|q2other|q3|q4_1|q4_2|q4_3|q4_4|q4_5|q4_6|q4_7|q4_8|q5_1|q5_2|q5_3|q5_4|q5_5|q6_1|q6_2|q6_3|q6_4|q7|q8
yes|12434535301|396431783|2021-02-23 12:16:58|2021-02-23 12:20:26|194.196.91.66|||||PGIM Real Estate|PRECap VII|97174|GBP|Mixed: Senior+Subordinated+Preferred equity|Europe|Closed end|2019|Yes|||918|814||52|||||52|52|34|832|||||100||Increase|Yes
yes|12419473127|396431783|2021-02-18 12:02:09|2021-02-18 12:03:33|208.65.107.140|||||BentallGreenOak|UK Secured Lending III|10000001|GBP|Senior|Europe|Closed end|2020|Yes|||360|360||||||||360|||||||100||Increase|Yes
yes|12419464784|396431783|2021-02-18 11:58:41|2021-02-18 12:01:48|208.65.107.140|||||BentallGreenOak|Europe Secured Lending II|10000002|GBP|Senior|Europe|Closed end|2020|Yes|||110|110||||||||110|||||||100||Increase|Yes
yes|12410630931|396431783|2021-02-15 17:16:42|2021-02-15 17:20:42|85.115.60.202|||||SCOR Investment Partners|SCOR Real Estate Loans IV|76090|EUR|Senior|Europe|Closed end|2020|Yes|||175|0|150|0|0|0|0|0|25|175|0|0|0|0|0|0|100|0|No change|No
yes|12409818114|396431783|2021-02-15 11:30:30|2021-02-15 13:52:22|81.141.109.31|||||LaSalle Investment Management |LaSalle Real Estate Debt Strategies IV|105571|EUR|Subordinated: Junior+Mezzanine|Europe|Closed end|2020|Yes|||435|310|100||||||25|180|230|25|||||100||Increase|Yes
yes|12409801116|396431783|2021-02-11 10:41:20|2021-02-15 11:32:11|147.161.167.99|||||Octopus Investments|Commercial Real Estate Debt Fund |18415|GBP|Senior|Europe|Closed end|2014|No|Other (please specify)|Market |||||||||||||||||||Increase|Yes
yes|12409784321|396431783|2021-02-15 11:10:15|2021-02-15 15:42:18|37.156.72.21|||||LaSalle Investment Management|LaSalle Whole Loan Strategy I|101287|EUR|Whole Loans|Europe|Closed end|2019|Yes|||300||300|||||||300|||||||100||Increase|Yes
yes|12409709323|396431783|2021-02-15 10:30:18|2021-02-15 10:30:53|37.156.72.21|||||LaSalle Investment Management|LaSalle Real Estate Strategies IV|105571|EUR|Subordinated: Junior+Mezzanine|Europe|Closed end|2020|Yes||||||||||||||||||||||
yes|12400952773|396431783|2021-02-11 10:42:37|2021-02-11 11:26:42|147.161.167.71|||||Octopus Real Estate|CREDF II-S|73412|GBP|Subordinated: Junior+Mezzanine|Europe|Closed end|2017|Yes|||76|26|||||50|||76|||||0|0|100|0|Increase|Yes
yes|12400844937|396431783|2021-02-11 09:36:26|2021-02-11 09:38:35|86.10.228.4|||||AgFe LLP|UK RE Senior Debt Fund LP|17383|GBP|Senior|Europe|Closed end|2014|Yes|||800||800|||||||800|||||||100||Decrease|Yes
yes|12395458710|396431783|2021-02-09 17:51:14|2021-02-09 17:55:34|92.246.34.60|||||Generali Real Estate SGR S.p.A.|Generali Real Estate Debt Investment Fund|19302|EUR|Mixed: Senior+Subordinated|Europe|Closed end|2019|Yes|||214||214|||||||214|||||||100|||
no|12391185772|396431783|2021-02-08 12:07:03|2021-02-08 12:07:35|88.202.197.95|||||DRC Capital |European Real Estate Senior Debt 6|#N/A|#N/A|#N/A|#N/A|#N/A|#N/A|Yes|||65||65|||||||65||||||100|||Increase|Yes
yes|12391184348|396431783|2021-02-08 12:06:18|2021-02-08 12:06:55|88.202.197.95|||||DRC Capital |DRC European Real Estate Senior Debt 4|105974|GBP|Whole Loans|Europe|Closed end|2019|Yes|||100|100||||||||100|||||||100||Increase|Yes
yes|12391182622|396431783|2021-02-08 12:05:34|2021-02-08 12:06:10|88.202.197.95|||||DRC Capital |DRC UK Whole Loan Fund II|120207|GBP|Whole Loans|Europe|Closed end|2020|Yes|||145|145||||||||145|||||||100||Increase|Yes
yes|12391176366|396431783|2021-02-08 12:02:23|2021-02-08 12:05:23|88.202.197.95|||||DRC Capital |DRC European Real Estate Debt Fund IV|19301|GBP|Mixed: Senior+Subordinated|Europe|Closed end|2019|Yes|||104|79|25|||||||27|77||||74||26||Increase|Yes
yes|12372280774|396431783|2021-02-01 15:39:13|2021-02-01 15:43:23|86.179.86.221|||||Pluto Finance|Fund V|19296|GBP|Senior|Europe|Open end|2017|Yes|||48|10|28||||10|||48|||||||100||Increase|No
yes|12442549596|396432108|2021-02-25 17:50:46|2021-02-25 17:54:49|213.127.79.181|||||CBRE Global Investors|Special Situations Fund|28321|USD|Mixed: Senior+Subordinated|North America|Open end|2009|Yes|||90|82|||||||8|65||25|||||100||Increase|Yes
no|12420559399|396431383|2021-02-18 17:20:27|2021-02-18 17:23:41|165.225.60.57|||||Heitman|Heitman Closed End Debt Fund|0|#N/A|#N/A|#N/A|#N/A|#N/A|Yes|||300||||300||||||200|100|||||100||Increase|Yes
no|12395085990|396431383|2021-02-09 16:04:24|2021-02-09 16:23:13|194.140.225.246|||||AEW|SELF III|0|#N/A|#N/A|#N/A|#N/A|#N/A|Yes|||75||10|65||||||75|||||||100||Increase|Yes
