keep|respondentId|collectorId|dateStarted|dateEnded|ipAddress|email|firstname|lastname|customData1|qcompany|qfundname|qfundstructure|universeFundID|qcurrency|qstyle|qtarget_country_strategy|qtarget_country|first_closing_year|q1|q2|q2other|q3|q4_1|q4_2|q4_3|q4_4|q4_5|q4_6|q4_7|q4_8|q5_1|q5_2|q5_3|q5_4|q5_5|q6_1|q6_2|q6_3|q6_4|q7|q8
yes|12446803914|396431383|2021-02-26 22:51:13|2021-02-26 22:52:23|194.196.91.66|||||PGIM Real Estate|Pan-European Real Estate Fund II|Open end|18578|EUR|Core|multi country||2018|Yes|||63|11|52|||||||63|||||72||28||Increase|Yes
yes|12446799231|396431383|2021-02-26 22:49:30|2021-02-26 22:51:00|194.196.91.66|||||PGIM Real Estate|European Value Partners II|Open end|Launched in 2021||||||Yes|||133|28|98|||||6|1|49||78|6||16||84||Increase|Yes
yes|12446796582|396431383|2021-02-26 22:48:26|2021-02-26 22:49:07|194.196.91.66|||||PGIM Real Estate|PGIM Real Estate UK Affordable Housing Fund|Open end|Launched in 2021||||||Yes|||185|185||||||||185|||||||100||Increase|Yes
yes|12446790894|396431383|2021-02-26 22:46:04|2021-02-26 22:47:56|194.196.91.66|||||PGIM Real Estate|Eurocore|Open end|19359|EUR|Core|multi country||2019|Yes|||319|274|11||||||34|319|||||||100||Increase|Yes
yes|12441747726|396431383|2021-02-25 13:34:27|2021-02-25 13:35:32|62.45.12.106|||||CBRE GI|Strategic Partners U.S. Value 9, L.P.|Closed end|US||||||Yes|||530|368||150|||||13|150||380|||||100||Increase|Yes
yes|12441742020|396431383|2021-02-25 13:29:27|2021-02-25 13:33:38|62.45.12.106|||||CBRE GI|US Core Partners|Open end|US||||||Yes|||838|365|298|70||2|77||26|532|90|216|||||100||Increase|Yes
yes|12441730305|396431383|2021-02-25 13:27:12|2021-02-25 13:28:33|62.45.12.106|||||CBRE GI|Asia Value Partners V SCSp SICAV-RAIF|Closed end|Asia||||||Yes|||136|30|81||||||25|106||||30|||100||Increase|Yes
yes|12441726369|396431383|2021-02-25 13:25:31|2021-02-25 13:26:26|62.45.12.106|||||CBRE GI|Dutch Residential Fund|Open end|18277|EUR|Core|single country|Netherlands|2017|Yes|||602|602||||||||602|||||||100||Increase|Yes
yes|12441723618|396431383|2021-02-25 13:24:12|2021-02-25 13:25:24|62.45.12.106|||||CBRE GI|Europe Value Partners 2|Closed end|18564|EUR|Value-added|multi country||2017|Yes|||4|2|2||||||||3|1|||||100||Increase|Yes
yes|12441720272|396431383|2021-02-25 13:22:55|2021-02-25 13:23:50|62.45.12.106|||||CBRE GI|European Industrial Fund|Open end|278|EUR|Core|multi country||2005|Yes|||122|32|90|||||||122|||||||100||Increase|Yes
yes|12441716348|396431383|2021-02-25 13:21:20|2021-02-25 13:22:43|62.45.12.106|||||CBRE GI|Pan-European Core Fund (PEC)|Open end|554|EUR|Core|multi country||2010|Yes|||417|404|13|||||||384|33||||||100||Increase|Yes
yes|12441713674|396431383|2021-02-25 13:20:00|2021-02-25 13:21:07|62.45.12.106|||||CBRE GI|UK Long Income Fund|Open end|19147|GBP|Core|single country|United Kingdom|2018|Yes|||82|82||||||||82|||||||100||Increase|Yes
yes|12441708366|396431383|2021-02-25 13:16:02|2021-02-25 13:19:36|62.45.12.106|||||CBRE GI|Caledon Global Infrastructure Fund (CGIF)|Open end|Global Fund||||||Yes|||78|60|||||||18|5|7|66|||||100||Increase|Yes
yes|12430920755|396431383|2021-02-22 12:52:00|2021-02-22 12:53:50|145.131.178.65|||||DWS Alternatives GmbH|Transatlantik fonds|Open end|17785||Core|multi country||2015|Yes|||250||250|||||||250|||||||100||Increase|No
yes|12430499005|396431383|2021-02-22 10:03:14|2021-02-22 10:19:41|194.35.33.254|||||Invesco Real Estate|Invesco Real Estate - European Value-Add Fund II|Closed end|19583||Value-added|multi country||2019|Yes|||132|125||||5|||2|132|||||||100||No change|Yes
yes|12430434717|396431383|2021-02-22 09:37:15|2021-02-22 09:38:57|92.18.75.212|||||Hearthstone Investment Management Ltd|Hearthstone Residential Fund 2|Closed end|19618|GBP|Core|single country|United Kingdom|2020|Yes|||97|97||||||||97|||||||100||Increase|Yes
yes|12429357130|396431383|2021-02-21 20:00:29|2021-02-21 20:01:48|185.222.102.3|||||Bouwinvest|Hotel Fund|Closed end|0|EUR|Core|single country|Netherlands|2015|No|Other (please specify)|Because the fund is closed ended.|||||||||||||||||||Decrease|Yes
yes|12429355841|396431383|2021-02-21 19:55:38|2021-02-21 20:01:22|185.222.102.3|||||Bouwinvest|Healthcare Fund|Closed end|0|EUR|Core|single country|Netherlands|2014|No|Other (please specify)|Because the Fund is closed ended.|||||||||||||||||||Increase|Yes
yes|12429353192|396431383|2021-02-21 19:55:37|2021-02-21 20:00:22|185.222.102.3|||||Bouwinvest|Office Fund|Open end|590|EUR|Core|single country|Netherlands|2010|Yes|||47|45|2|||||||47|||||||100||Increase|Yes
yes|12429351135|396431383|2021-02-21 19:55:35|2021-02-21 19:58:46|185.222.102.3|||||Bouwinvest|Retail Fund|Open end|589|EUR|Core|single country|Netherlands|2010|Yes|||78|78||||||||78|||||||100||Decrease|Yes
yes|12429348092|396431383|2021-02-21 19:51:43|2021-02-21 19:56:37|185.222.102.3|||||Bouwinvest|Residential Fund|Open end|588|EUR|Core|single country|Netherlands|2010|Yes|||100|100||||||||100|||||||100||Increase|Yes
yes|12429342997|396431383|2021-02-21 19:51:41|2021-02-21 19:53:00|185.222.102.3|||||Bouwinvest|Europe|Open end|SMA||||||Yes|||120|120||||||||120|||||||100||Increase|Yes
yes|12429341987|396431383|2021-02-21 19:51:39|2021-02-21 19:52:20|185.222.102.3|||||Bouwinvest|APAC|Open end|SMA||||||Yes|||257|257||||||||257|||||||100||Increase|Yes
yes|12429336902|396431383|2021-02-21 19:42:44|2021-02-21 19:51:21|185.222.102.3|||||Bouwinvest|North America|Open end|SMA||||||Yes|||268|268||||||||268|||||||100||Increase|Yes
yes|12424253586|396431383|2021-02-19 16:21:33|2021-02-19 16:22:59|165.225.26.158|||||AXA Investment Managers Deutschland GmbH|ImmoWert|Closed end|18179|EUR|Core|multi country||2012|No|Other (please specify)|We didn't have to raise capital. Extra cash on bank account.|||||||||||||||||||Increase|No
yes|12423371755|396431383|2021-02-19 11:35:33|2021-02-19 11:36:04|195.46.228.67|||||Genesta Nordic Real Estate Fund II FCP-SIF|Genesta Nordic Real Estate Fund II FCP-SIF|Closed end|18282|EUR|Value-added|multi country||2015|No|Other (please specify)|No capital raising needed|||||||||||||||||||Increase|No
